,product1,product2,product3,product4,product5
0,4,4,4,4,4
1,6,7,5,9,7
2,4,0,5,0,5
3,0,9,8,8,3
4,8,6,6,8,8
5,6,3,2,7,4
6,8,8,7,8,6
7,3,3,8,8,8
8,2,4,1,3,1
9,6,2,0,7,3
10,8,7,10,8,10
11,8,6,7,8,10
12,8,6,2,9,7
13,5,5,3,8,5
14,6,3,1,8,5
15,7,6,3,8,2
16,5,2,3,7,4
17,7,8,10,4,7
18,7,8,8,8,8
19,4,2,1,4,3
20,6,3,5,7,8
21,4,1,1,3,1
22,8,5,8,6,8
23,9,7,8,8,7
24,8,3,3,8,5
25,8,7,0,9,4
26,2,3,5,7,4
27,1,3,1,9,1
28,2,0,8,6,6
29,6,4,1,7,4
30,3,3,3,3,2
31,1,1,0,3,0
32,6,3,1,7,3
33,3,2,4,8,6
34,3,4,3,6,6
35,7,4,2,8,3
36,5,5,8,8,7
37,7,6,5,9,6
38,7,7,6,9,7
39,8,5,7,8,7
40,1,1,4,10,0
41,5,2,7,9,7
42,8,10,4,6,10
43,7,4,5,7,4
44,7,4,5,9,6
45,6,3,2,4,8
46,4,1,8,2,4
47,4,0,0,0,0
48,8,7,8,7,7
