,product1,product2,product3,product4,product5
0,6,6,2,6,4.0
1,7,5,5,6,7.0
2,8,4,4,8,4.0
3,2,2,2,2,2.0
4,9,2,2,7,2.0
5,2,1,3,7,6.0
6,2,4,5,6,4.0
7,10,1,3,9,2.0
8,5,5,8,6,4.0
9,8,6,7,9,8.0
10,7,5,4,9,6.0
11,3,4,2,6,3.0
12,3,2,2,6,5.0
13,5,5,1,9,6.0
14,2,0,6,5,0.0
15,0,0,3,3,4.0
16,8,5,5,7,6.0
17,8,2,5,8,7.0
18,4,5,2,3,5.0
19,5,4,1,10,3.0
20,6,3,5,7,5.0
21,4,7,3,5,8.0
22,8,5,7,6,7.0
23,5,4,6,8,7.0
24,5,8,7,1,3.0
25,6,8,7,8,7.0
26,7,4,2,9,5.0
27,7,5,6,8,6.0
28,2,4,2,4,2.0
29,8,6,8,7,6.0
30,6,6,5,6,6.0
31,10,10,10,10,0.0
32,7,7,9,7,8.0
33,3,8,2,7,3.0
34,9,9,9,9,9.0
35,8,6,7,7,7.0
36,3,4,3,4,5.0
37,6,6,6,8,6.0
38,7,5,7,8,7.0
39,3,2,7,5,5.0
40,6,4,5,8,4.0
41,3,6,4,4,7.0
42,6,6,7,5,3.0
43,3,9,8,10,5.0
44,8,4,5,7,6.0
45,9,9,6,10,5.0
46,7,6,7,7,6.0
47,7,3,4,7,5.0
48,10,0,10,5,0.0
49,9,5,10,9,5.0
50,7,6,8,9,6.0
51,5,5,3,7,4.0
52,5,3,4,2,4.0
53,6,5,6,7,6.0
54,5,5,5,5,5.0
