,product1,product2,product3,product4,product5
0,7,5,6,7,6
1,7,2,4,5,8
2,5,6,4,4,7
3,5,2,5,8,4
4,9,4,6,9,7
5,6,5,8,6,8
6,6,4,8,9,4
7,6,8,4,5,3
8,7,6,3,10,8
9,6,2,1,9,8
10,7,4,4,7,6
11,9,6,7,6,6
12,5,1,5,5,5
13,5,6,4,5,4
14,6,4,4,7,4
15,9,8,5,7,5
16,2,1,2,3,3
17,9,6,6,9,6
18,2,1,2,4,2
19,7,3,5,7,8
20,4,1,1,7,10
21,4,3,6,7,3
22,8,2,7,4,10
23,5,5,5,6,4
24,0,7,4,9,3
25,3,4,4,6,7
26,4,3,2,5,4
27,5,3,5,6,6
28,4,5,3,6,5
29,5,3,6,3,6
30,5,2,3,5,1
31,6,5,7,9,7
32,4,0,0,2,1
33,7,5,6,8,2
34,8,8,8,9,4
35,10,6,10,8,10
36,5,5,6,5,0
37,5,4,10,10,5
38,8,6,8,8,6
39,9,5,6,7,7
40,7,5,9,6,10
41,9,4,5,9,7
42,0,0,2,9,8
43,7,8,9,9,9
44,7,8,7,7,8
45,3,0,0,5,5
46,0,10,7,8,10
