,product1,product2,product3,product4,product5
0,8,5,8,6,7
1,2,5,2,2,4
2,4,8,5,3,2
3,3,1,4,6,7
4,5,4,4,6,6
5,5,6,2,4,7
6,6,4,5,7,6
7,0,7,6,6,4
8,8,4,5,7,7
9,4,3,4,3,6
10,7,7,8,7,8
11,5,8,8,10,7
12,3,6,6,8,8
13,7,4,5,8,6
14,6,4,6,7,5
15,7,5,3,7,6
16,8,4,7,6,3
17,6,5,3,2,6
18,8,6,8,8,6
19,5,2,1,2,4
20,7,10,7,8,6
21,5,4,4,4,6
22,3,2,2,3,1
23,5,6,5,8,6
24,9,8,8,8,9
25,7,9,9,9,5
26,8,4,5,4,2
27,7,6,4,7,3
28,8,3,9,6,9
29,6,7,5,6,9
30,6,6,8,8,8
31,6,5,6,7,9
32,8,6,4,0,6
33,3,7,1,7,6
34,3,1,1,1,2
35,5,3,3,3,2
36,2,3,3,7,1
37,4,2,6,3,1
38,7,4,5,6,7
39,2,4,1,2,3
40,4,3,3,4,4
41,2,4,2,2,2
42,7,5,6,7,4
43,6,6,8,9,7
44,0,2,4,5,6
45,4,2,3,4,6
46,5,6,3,7,2
47,5,2,3,5,5
48,7,5,5,9,8
49,6,4,5,6,4
50,7,2,0,9,2
51,4,2,0,3,3
